Market,Agency__c,Forecast_Month__c,Forecast_Year__c,Forecast__c,CurrencyIsoCode,Forecast_Type__c,Forecast_Quarter__c,Business_Unit__c,Forecast_Level__c,Id
United States,a00i000000SVR9XAAX,Apr,2016,600499804,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGvipEAD
United States,a00i000000SVR9XAAX,Apr,2016,3666216480,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvk7EAD
United States,a00i000000SVR9XAAX,Aug,2016,145705510,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGvitEAD
United States,a00i000000SVR9XAAX,Aug,2016,4615400,USD,Cartesis,Q3RF 2016,plista,Market,a0M3100000GGvjBEAT
United States,a00i000000SVR9XAAX,Aug,2016,4073355366,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvkBEAT
United States,a00i000000SVR9XAAX,Dec,2016,758000000,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGvixEAD
United States,a00i000000SVR9XAAX,Dec,2016,6258728938,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvkFEAT
United States,a00i000000SVR9XAAX,Feb,2016,30542020,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGvinEAD
United States,a00i000000SVR9XAAX,Feb,2016,4347713711,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvk5EAD
United States,a00i000000SVR9XAAX,Jan,2016,74168839,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGvimEAD
United States,a00i000000SVR9XAAX,Jan,2016,4910481688,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvk4EAD
United States,a00i000000SVR9XAAX,Jul,2016,153069012,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGvisEAD
United States,a00i000000SVR9XAAX,Jul,2016,3281022768,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvkAEAT
United States,a00i000000SVR9XAAX,Jun,2016,471945369,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGvirEAD
United States,a00i000000SVR9XAAX,Jun,2016,4302042323,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvk9EAD
United States,a00i000000SVR9XAAX,Mar,2016,590456875,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGvioEAD
United States,a00i000000SVR9XAAX,Mar,2016,4602715753,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvk6EAD
United States,a00i000000SVR9XAAX,May,2016,521201257,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGviqEAD
United States,a00i000000SVR9XAAX,May,2016,3897806565,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvk8EAD
United States,a00i000000SVR9XAAX,Nov,2016,346000000,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGviwEAD
United States,a00i000000SVR9XAAX,Nov,2016,6579061125,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvkEEAT
United States,a00i000000SVR9XAAX,Oct,2016,153000000,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGvivEAD
United States,a00i000000SVR9XAAX,Oct,2016,4784143000,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvkDEAT
United States,a00i000000SVR9XAAX,Sep,2016,387054005,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGviuEAD
United States,a00i000000SVR9XAAX,Sep,2016,237517908,USD,Cartesis,Q3RF 2016,plista,Market,a0M3100000GGvjCEAT
United States,a00i000000SVR9XAAX,Sep,2016,3042362403,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvkCEAT
