Market,Agency__c,Forecast_Month__c,Forecast_Year__c,Forecast__c,CurrencyIsoCode,Forecast_Type__c,Forecast_Quarter__c,Business_Unit__c,Forecast_Level__c,Id,Name
United States,a00i000000SVR9NAAX,Aug,2016,240187.9,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGvihEAD,FR-23714
United States,a00i000000SVR9NAAX,Aug,2016,72181.21,USD,Cartesis,Q3RF 2016,plista,Market,a0M3100000GGvj6EAD,FR-23739
United States,a00i000000SVR9NAAX,Aug,2016,2825944,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvjzEAD,FR-23789
United States,a00i000000SVR9NAAX,Dec,2016,260413.8,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGvilEAD,FR-23718
United States,a00i000000SVR9NAAX,Dec,2016,39973.36,USD,Cartesis,Q3RF 2016,plista,Market,a0M3100000GGvjAEAT,FR-23743
United States,a00i000000SVR9NAAX,Dec,2016,4787774,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvk3EAD,FR-23793
United States,a00i000000SVR9NAAX,Feb,2016,235136.1,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGvibEAD,FR-23708
United States,a00i000000SVR9NAAX,Feb,2016,2805531,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvjtEAD,FR-23783
United States,a00i000000SVR9NAAX,Jan,2016,122904.8,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGviaEAD,FR-23707
United States,a00i000000SVR9NAAX,Jan,2016,2268990,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvjsEAD,FR-23782
United States,a00i000000SVR9NAAX,Jul,2016,287619.3,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGvigEAD,FR-23713
United States,a00i000000SVR9NAAX,Jul,2016,109737.7,USD,Cartesis,Q3RF 2016,plista,Market,a0M3100000GGvj5EAD,FR-23738
United States,a00i000000SVR9NAAX,Jul,2016,2948746,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvjyEAD,FR-23788
