Market,Agency__c,Forecast_Month__c,Forecast_Year__c,Forecast__c,CurrencyIsoCode,Forecast_Type__c,Forecast_Quarter__c,Business_Unit__c,Forecast_Level__c
United States,a00i000000SVR9NAAX,Jan,2016,2268989797,USD,Cartesis,Q3RF 2016,Xaxis,Market
United States,a00i000000SVR9NAAX,Feb,2016,2805530823,USD,Cartesis,Q3RF 2016,Xaxis,Market
United States,a00i000000SVR9NAAX,Mar,2016,4852495852,USD,Cartesis,Q3RF 2016,Xaxis,Market
United States,a00i000000SVR9NAAX,Apr,2016,2870150035,USD,Cartesis,Q3RF 2016,Xaxis,Market
United States,a00i000000SVR9NAAX,May,2016,2922106125,USD,Cartesis,Q3RF 2016,Xaxis,Market
United States,a00i000000SVR9NAAX,Jun,2016,4586156285,USD,Cartesis,Q3RF 2016,Xaxis,Market
United States,a00i000000SVR9NAAX,Jul,2016,2948746240,USD,Cartesis,Q3RF 2016,Xaxis,Market
United States,a00i000000SVR9NAAX,Aug,2016,2825943781,USD,Cartesis,Q3RF 2016,Xaxis,Market
United States,a00i000000SVR9NAAX,Sep,2016,2171323296,USD,Cartesis,Q3RF 2016,Xaxis,Market
United States,a00i000000SVR9NAAX,Oct,2016,2794967590,USD,Cartesis,Q3RF 2016,Xaxis,Market
United States,a00i000000SVR9NAAX,Nov,2016,3696379194,USD,Cartesis,Q3RF 2016,Xaxis,Market
United States,a00i000000SVR9NAAX,Dec,2016,4787773586,USD,Cartesis,Q3RF 2016,Xaxis,Market
United States,a00i000000SVR9XAAX,Jan,2016,4910481688,USD,Cartesis,Q3RF 2016,Xaxis,Market
United States,a00i000000SVR9XAAX,Feb,2016,4347713711,USD,Cartesis,Q3RF 2016,Xaxis,Market
United States,a00i000000SVR9XAAX,Mar,2016,4602715753,USD,Cartesis,Q3RF 2016,Xaxis,Market
United States,a00i000000SVR9XAAX,Apr,2016,3666216480,USD,Cartesis,Q3RF 2016,Xaxis,Market
United States,a00i000000SVR9XAAX,May,2016,3897806565,USD,Cartesis,Q3RF 2016,Xaxis,Market
United States,a00i000000SVR9XAAX,Jun,2016,4302042323,USD,Cartesis,Q3RF 2016,Xaxis,Market
United States,a00i000000SVR9XAAX,Jul,2016,3281022768,USD,Cartesis,Q3RF 2016,Xaxis,Market
United States,a00i000000SVR9XAAX,Aug,2016,4073355366,USD,Cartesis,Q3RF 2016,Xaxis,Market
United States,a00i000000SVR9XAAX,Sep,2016,3042362403,USD,Cartesis,Q3RF 2016,Xaxis,Market
United States,a00i000000SVR9XAAX,Oct,2016,4784143000,USD,Cartesis,Q3RF 2016,Xaxis,Market
United States,a00i000000SVR9XAAX,Nov,2016,6579061125,USD,Cartesis,Q3RF 2016,Xaxis,Market
United States,a00i000000SVR9XAAX,Dec,2016,6258728938,USD,Cartesis,Q3RF 2016,Xaxis,Market
