Opportunity__c,External_ID__c,Start_Date__c,End_Date__c,Gross_Cost__c,Buy_Name_txt__c,Imputing_Margin_or_Net__c,RecordTypeId,Buy_Volume__c,Media_Net_Cost__c,Input_Mode__c,Opp_Buy_Description__c,Rate__c,Buy_Type__c,Frequency_Cap__c,Frequency_Scope__c,Special_Product__c,Target_Age_Freeform_Entry__c,Target_Gender__c
0063100000fJYaFAAW,Netherlands: 20160094,"Feb 26, 2016","Mar 6, 2016",7773.25,Let op: Alleen live tussen 16:30 - 20:00 dagelijks. Graag sturen naar completed views. Tijdens de vorige campagne was het % 0-25% uitgekeken nl. vrij hoog (18%),Net Cost (Calc Margin),012i0000001EB0nAAG,575796,0,Externally Managed,,13.5,CPM,3,Per campaign,Video - Preroll 20s,20-29,
0063100000fJYbbAAG,Netherlands: 20160013,"Jan 1, 2016","Feb 7, 2016",4625.01,2015-01 Activia AV Challenge,Net Cost (Calc Margin),012i0000001EB0nAAG,342593,0,Externally Managed,,13.5,CPM,3,Per campaign,Video - Preroll 20s,25-40,Female
0063100000fJYiIAAW,Netherlands: 20160133,"Mar 4, 2016","Mar 18, 2016",2125,Doelgroep:Rotterdam,Net Cost (Calc Margin),012i0000001EB0nAAG,772727,0,Externally Managed,,2.75,CPM,7,Per campaign,Display - Standard,35-65,
0063100000fJYbMAAW,Netherlands: 20160192,"Apr 4, 2016","Apr 24, 2016",8315.5,Karcher High Pressure Display - Mar-Jun 2016 - Flight 2,Net Cost (Calc Margin),012i0000001EB0nAAG,593964,0,Externally Managed,,14,CPM,3,Per campaign,Display - Frequency booster,35-54,Male
0063100000fJYbZAAW,Netherlands: 20150781,"Nov 18, 2015","Mar 6, 2016",4967.3,Frank -> briefing Suzanne. Retargeting high impact viewers,Net Cost (Calc Margin),012i0000001EB0nAAG,1806290,0,Externally Managed,,2.75,CPM,3,Per campaign,Xaxis Display,18-34,
0063100000fJYbNAAW,Netherlands: 20160220,"Apr 4, 2016","Apr 24, 2016",9303.27,Karcher Window Vac OLV April 2016,Net Cost (Calc Margin),012i0000001EB0nAAG,689131,0,Externally Managed,,13.5,CPM,3,Per campaign,Video - Preroll 20s,29-49,Female
0063100000fJYiEAAW,Netherlands: 20160465,"Aug 21, 2016","Sep 10, 2016",5700.09,2016-08 Greek Oikos Aug-sept 2016,Net Cost (Calc Margin),012i0000001EB0nAAG,422229,0,Externally Managed,,13.5,CPM,3,Per campaign,Video - Preroll 20s,35-55,Female
0063100000fJYb3AAG,Netherlands: 20160406,"Jul 1, 2016","Sep 30, 2016",29279.99,Look a like segmenten van Volvo,Net Cost (Calc Margin),012i0000001EB0nAAG,2091428,0,Externally Managed,,14,CPM,,,Display - Frequency booster,,
0063100000fJYacAAG,Netherlands: 20160218,"Mar 28, 2016","Jun 26, 2016",1604.7,"Mobile Swipe Cube. Targeting op de stad Rotterdam. Graag de volgende flights aanhouden: 4 apr-30 apr, 23 mei-29 mei, 20 jun-26 jun. Gelijkmatige spreiding van de impressies over de flights.",Net Cost (Calc Margin),012i0000001EB0nAAG,267450,0,Externally Managed,,6,CPM,3,Per campaign,Mobile - Halfpage ad,,
0063100000fJYaDAAW,Netherlands: 20160491,"Aug 15, 2016","Nov 20, 2016",20125,"mid and high income (hier kunnen we niet op targeten, wel valideren met TNS NIPO. Graag meenemen in Eind Rapportage)",Net Cost (Calc Margin),012i0000001EB0nAAG,1750000,0,Externally Managed,,11.5,CPM,3,Per campaign,Mobile - Video,25-55,
0063100000fJYigAAG,Netherlands: 20160319,"May 23, 2016","Jun 12, 2016",19263.59,8-6: outstream toegevoegd,Net Cost (Calc Margin),012i0000001EB0nAAG,1284239,0,Externally Managed,,15,CPM,3,Per campaign,Video - Preroll 30s,25-45,
0063100000fJYb1AAG,Netherlands: 20160351,"Aug 22, 2016","Sep 11, 2016",13494.6,"STIVA tijdvak aanhouden, inzet tussen 21:00-06:00 uur. Combi Video pakket; 50% van de impressies op Desktop en 50% van de impressies op Mobile (In-app). Smartphone web mag ingezet worden.",Net Cost (Calc Margin),012i0000001EB0nAAG,1079568,0,Externally Managed,,12.5,CPM,1,Per week,Video - Preroll 20s,25-54,
0063100000fJYbaAAG,Netherlands: 20160085,"Jan 26, 2016","Feb 28, 2016",11338.25,"Mochten er problemen zijn met uitleveren, dan is het mogelijk om tech sites toe te voegen. Mochten er daarna nog steeds problemen zijn met uitleveren, dan mogen entertainment sites worden toegevoegd. Let op: Tablet pre-roll 15:"".",Net Cost (Calc Margin),012i0000001EB0nAAG,985935,0,Externally Managed,,11.5,CPM,3,Per campaign,Mobile - Video,18-34,Male
0063100000fJYbfAAG,Netherlands: 20160115,"Mar 7, 2016","Apr 3, 2016",8250,MCM-113554-2016-0211 -- 2016-03 Danio AV Maart April,Net Cost (Calc Margin),012i0000001EB0nAAG,611111,0,Externally Managed,,13.5,CPM,3,Per campaign,Video - Preroll 20s,25-45,Female
0063100000fJYadAAG,Netherlands: 20160297,"May 10, 2016","Jul 17, 2016",2296.7,Mobile Swipe Cube. Targeting op de stad Groningen.,Net Cost (Calc Margin),012i0000001EB0nAAG,382783,0,Externally Managed,,6,CPM,3,Per campaign,Mobile - Halfpage ad,,
0063100000fJYiwAAG,Netherlands: 20160047,"Jan 14, 2016","Jan 31, 2016",24570,Bestaande spot,Net Cost (Calc Margin),012i0000001EB0nAAG,1820000,0,Externally Managed,,13.5,CPM,3,Per campaign,Video - Preroll 20s,16-30,
0063100000fJYbPAAW,Netherlands: 20160258,"May 1, 2016","May 12, 2016",5999.99,Karcher Window Vac Display - Apr-Oct 2016 - Flight 2,Net Cost (Calc Margin),012i0000001EB0nAAG,428571,0,Externally Managed,,14,CPM,3,Per campaign,Display - Frequency booster,20-49,Female
0063100000fJYaIAAW,Netherlands: 20160265,"May 2, 2016","May 22, 2016",6885,Doelgroep is Boodschappers 20-49. Combi Desktop & Mobile Video. O.b.v. 50% van de impressies op Desktop en 50% van de impressies op Mobile Video (in-app). Een cap van 2 op Desktop en een cap van 1 op Mobile. 4 mei: Akkoord op test inzet Youtube,Net Cost (Calc Margin),012i0000001EB0nAAG,550800,0,Externally Managed,,12.5,CPM,2,Per campaign,Video - Preroll 20s,20-49,
0063100000fJYbQAAW,Netherlands: 20160193,"May 2, 2016","May 22, 2016",11684.5,Doelgroep nagevraagd,Net Cost (Calc Margin),012i0000001EB0nAAG,834607,0,Externally Managed,,14,CPM,3,Per campaign,Display - Frequency booster,35-54,Male
0063100000fJYirAAG,Netherlands: 20160262,"May 9, 2016","Jun 6, 2016",26725.69,"25 sec video, 6-6: mag max 3 dagen verlengd worden",Net Cost (Calc Margin),012i0000001EB0nAAG,2323973,0,Externally Managed,,11.5,CPM,3,Per campaign,Mobile - Video,20-39,Female
0063100000fJYiqAAG,Netherlands: 20160166,"Apr 4, 2016","Apr 20, 2016",13548.83,Campagne mag verlengd worden met max 3 dagen. Nieuw materiaal mag gebruikt worden,Net Cost (Calc Margin),012i0000001EB0nAAG,1003617,0,Externally Managed,,13.5,CPM,3,Per campaign,Video - Preroll 20s,20-39,Female
0063100000fJYaLAAW,Netherlands: 20160410,"Jul 4, 2016","Jul 24, 2016",27059,Ingekocht voor een CPM prijs van een 20sec video maar in de opmerkingen staat dat het een 30sec video is. Er zijn al impressies vanaf gehaald. Ze beginnen met een 30sec video en in de loop van de campagne ontvangen we een 20sec video,Net Cost (Calc Margin),012i0000001EB0nAAG,1803933,0,Externally Managed,,15,CPM,1,Per campaign,Video - Preroll 30s,20-34,
0063100000fJYb9AAG,Netherlands: 20160234,"Apr 14, 2016","May 8, 2016",12650,MAX-128858-2016-0171 -- Zalando OLV - NL-BE - Apr May 2016 - NL inzet,Net Cost (Calc Margin),012i0000001EB0nAAG,1100000,0,Externally Managed,Gelijkmatige uitlevering van de impressies over de dagen. De hosting van de video vindt plaats in het Xaxis account. De trackers van Zalando worden verwerkt door GroupM Traffic tezamen met de trackers van Maxus-Helder.  Xaxis plaatst dan weer de trackers van GroupM in het Xaxis account zodat alle 3 de partijen mee kunnen meten.,11.5,CPM,3,Per campaign,Mobile - Video,20-39,Female
0063100000fJYa6AAG,Netherlands: 20160408,"Jul 25, 2016","Aug 14, 2016",11499.65,2016-07 Proglasur AV,Net Cost (Calc Margin),012i0000001EB0nAAG,851826,0,Externally Managed,,13.5,CPM,3,Per campaign,Video - Preroll 20s,20-49,Female
0063100000fJYiQAAW,Netherlands: 20160227,"May 30, 2016","Jun 17, 2016",1252.05,Targeting op provincie Friesland. Materiaal wordt aangeleverd op 24 mei.,Net Cost (Calc Margin),012i0000001EB0nAAG,455290,0,Externally Managed,,2.75,CPM,7,Per campaign,Display - Standard,18-40,
0063100000fJYitAAG,Netherlands: 20150807,"Nov 20, 2015","Jan 3, 2016",16100,Week 50 uitsluiten met eerste contacten bereiken. Enkel retargeting.,Net Cost (Calc Margin),012i0000001EB0nAAG,1400000,0,Externally Managed,,11.5,CPM,3,Per campaign,Xaxis TV,18-30,
0063100000fJYiiAAG,Netherlands: 20160477,"Aug 15, 2016","Sep 4, 2016",17628.99,"Wacht op omzetting in CPM tarief. Combi Video pakket (50% van de impressies op Desktop en 50% van de impressies In-app) o.b.v. 30""",Net Cost (Calc Margin),012i0000001EB0nAAG,1175266,0,Externally Managed,,15,CPM,3,Per campaign,Video - Preroll 30s,25-45,
