External_ID__c,Gross_Cost__c,Buy_Name_txt__c,Imputing_Margin_or_Net__c,RecordTypeId,Buy_Volume__c,Media_Net_Cost__c,Input_Mode__c,Opp_Buy_Description__c,Rate__c,Buy_Type__c,CloseDate,Frequency_Cap__c,Frequency_Scope__c,Id,Special_Product__c,StartDate,Target_Age_Freeform_Entry__c,Target_Gender__c
Netherlands Reference number: 20160130,22930.99,"BE inzet: Targeting: 60% Vlaanderen - 40% Wallonie, 60% Vrouwen 40% Mannen. Graag aparte line items aanmaken. Graag kwalitatieve inzet aangezien complete sitelist (eenmalig) moet worden verstuurd.",Net Cost (Calc Margin),012i0000001EB0nAAG,1348882,0,Externally Managed,,17,CPM,"Mar 20, 2016",3,Per campaign,0063100000fJYb6AAG,Video - Preroll 20s,"Feb 22, 2016",20-39,
Netherlands Reference number: 20160239,8250,Gelijkmatige uitlevering van de impressies over de dagen. : Style&Fashion,Net Cost (Calc Margin),012i0000001EB0nAAG,330000,0,Externally Managed,,25,CPM,"May 8, 2016",3,Per campaign,0063100000fJYb7AAG,Video - Preroll 30s,"Apr 14, 2016",,
Netherlands Reference number: 20160241,8250,Gelijkmatige uitlevering van de impressies over de dagen.,Net Cost (Calc Margin),012i0000001EB0nAAG,412500,0,Externally Managed,,20,CPM,"May 8, 2016",3,Per campaign,0063100000fJYb7AAG,Video - Preroll 30s,"Apr 14, 2016",20-39,Female
Netherlands Reference number: 20160240,5500,Gelijkmatige uitlevering van de impressies over de dagen. : Style&Fashion,Net Cost (Calc Margin),012i0000001EB0nAAG,220000,0,Externally Managed,,25,CPM,"May 8, 2016",3,Per campaign,0063100000fJYb8AAG,Video - Preroll 30s,"Apr 14, 2016",,
Netherlands Reference number: 20160242,5500,Gelijkmatige uitlevering van de impressies over de dagen.,Net Cost (Calc Margin),012i0000001EB0nAAG,275000,0,Externally Managed,,20,CPM,"May 8, 2016",3,Per campaign,0063100000fJYb8AAG,Video - Preroll 30s,"Apr 14, 2016",20-39,Female
Netherlands Reference number: 20160233,6000,MAX-128858-2016-0171 -- Zalando OLV - NL-BE - Apr May 2016 - NL inzet,Net Cost (Calc Margin),012i0000001EB0nAAG,400000,0,Externally Managed,"Graag de eerste week 250.000 impressies inzetten. De resterende 150.000 impressies gelijkwaardig verdelen over de weken. Graag een pixel plaatsen op click en op view, Light Reaction gaat deze pool gebruiken voor verdere inzet. De hosting van de video vindt plaats in het Xaxis account. De trackers van Zalando worden verwerkt door GroupM Traffic tezamen met de trackers van Maxus-Helder.  Xaxis plaatst dan weer de trackers van GroupM in het Xaxis account zodat alle 3 de partijen mee kunnen meten.",15,CPM,"May 8, 2016",3,Per campaign,0063100000fJYb9AAG,Video - Preroll 30s,"Apr 14, 2016",20-39,Female
Netherlands Reference number: 20160234,12650,MAX-128858-2016-0171 -- Zalando OLV - NL-BE - Apr May 2016 - NL inzet,Net Cost (Calc Margin),012i0000001EB0nAAG,1100000,0,Externally Managed,Gelijkmatige uitlevering van de impressies over de dagen. De hosting van de video vindt plaats in het Xaxis account. De trackers van Zalando worden verwerkt door GroupM Traffic tezamen met de trackers van Maxus-Helder.  Xaxis plaatst dan weer de trackers van GroupM in het Xaxis account zodat alle 3 de partijen mee kunnen meten.,11.5,CPM,"May 8, 2016",3,Per campaign,0063100000fJYb9AAG,Mobile - Video,"Apr 14, 2016",20-39,Female
Netherlands Reference number: 20160084,14850,"Mochten er problemen zijn met uitleveren, dan is het mogelijk om tech sites toe te voegen. Mochten er daarna nog steeds problemen zijn met uitleveren, dan mogen entertainment sites worden toegevoegd. Let op: de video is 30"".",Net Cost (Calc Margin),012i0000001EB0nAAG,1100000,0,Externally Managed,,13.5,CPM,"Feb 28, 2016",3,Per campaign,0063100000fJYbaAAG,Video - Preroll 20s,"Jan 26, 2016",18-34,Male
Netherlands Reference number: 20160085,11338.25,"Mochten er problemen zijn met uitleveren, dan is het mogelijk om tech sites toe te voegen. Mochten er daarna nog steeds problemen zijn met uitleveren, dan mogen entertainment sites worden toegevoegd. Let op: Tablet pre-roll 15:"".",Net Cost (Calc Margin),012i0000001EB0nAAG,985935,0,Externally Managed,,11.5,CPM,"Feb 28, 2016",3,Per campaign,0063100000fJYbaAAG,Mobile - Video,"Jan 26, 2016",18-34,Male
Netherlands Reference number: 20160086,11327.5,"Mochten er problemen zijn met uitleveren, dan is het mogelijk om tech sites toe te voegen. Mochten er daarna nog steeds problemen zijn met uitleveren, dan mogen entertainment sites worden toegevoegd. Let op: Smartphone pre-roll 15:"".",Net Cost (Calc Margin),012i0000001EB0nAAG,985000,0,Externally Managed,,11.5,CPM,"Feb 28, 2016",3,Per campaign,0063100000fJYbaAAG,Mobile - Video,"Jan 26, 2016",18-34,Male
