Opportunity__c,External_Id__c,Product_Detail__C,Start_Date__c,End_Date__c,Gross_Cost__c,Buy_Name_txt__c,Imputing_Margin_or_Net__c,PackageType__c,RecordTypeId,Media_Net_Cost__c,Input_Mode__c,Audience_Tier__c,Opp_Buy_Description__c,Media_Code__c
0063100000fkOcGAAU,NordicOrderID:18206,Xaxis TV,2016-06-20 12:00:00,2016-07-10 12:00:00,37305,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Bilinteresse: RON M35-55,Video
0063100000fkOdXAAU,NordicOrderID:31812,Xaxis TV,2016-10-01 12:00:00,2016-10-31 12:00:00,37328,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Retargeting og prospecting i september,Video
0063100000fkOjNAAU,NordicOrderID:12039,Xaxis Mobile,2016-03-15 12:00:00,2016-04-03 12:00:00,37350,Xaxis DK - Mobil,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,"Broadcast, RON, Women 18-35 w interest in beauty/fashion + incl. YouTube, Mixed, Video, freq.3 pr wk",Mobile
0063100000fkOlTAAU,NordicOrderID:19438,Xaxis TV,2016-08-01 12:00:00,2016-08-31 12:00:00,37488,Xaxis DK - Video,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Webtv,Video
0063100000fkOlXAAU,NordicOrderID:21378,Xaxis TV,2016-09-01 12:00:00,2016-09-30 12:00:00,37488,Xaxis DK - Video,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Webtv,Video
0063100000fkObPAAU,NordicOrderID:11344,Xaxis TV,2016-01-04 12:00:00,2016-01-20 12:00:00,37500,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,"Re-targeting web tv viewers, Target P25-55 - Curius, Autentic, Self confident",Video
0063100000fkOjNAAU,NordicOrderID:12040,Xaxis TV,2016-03-15 12:00:00,2016-04-03 12:00:00,37500,Xaxis DK - Video,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,"Broadcast, RON, Women 18-35 w interest in beauty/fashion + incl. YouTube, Mixed, Video, freq.3 pr wk",Video
0063100000fkOPPAA2,NordicOrderID:17971,Xaxis TV,2016-04-06 12:00:00,2016-06-30 12:00:00,37500,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,IP Targeting (NN-Markedsdata),Video
0063100000fkOYpAAM,NordicOrderID:16730,Xaxis TV,2016-04-27 12:00:00,2016-06-26 12:00:00,37500,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Nyd skanes smukke natur - Rotation banners,Video
0063100000fkOf0AAE,NordicOrderID:18851,Xaxis TV,2016-07-01 12:00:00,2016-09-30 12:00:00,37500,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Prospecting,Video
0063100000fkOamAAE,NordicOrderID:29243,Xaxis TV,2016-10-27 12:00:00,2016-11-02 12:00:00,37529,Xaxis DK - Video,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,P30-70 + bolig (Spotlaengde: 30 sek) Frek 1/spot,Video
0063100000fkOeyAAE,NordicOrderID:10936,Xaxis TV,2016-01-01 12:00:00,2016-03-31 12:00:00,37600,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Retargeting,Video
0063100000fkOZfAAM,NordicOrderID:38107,Xaxis TV,2016-11-22 12:00:00,2016-12-04 12:00:00,37657,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Programmatic,Video
0063100000fkOfuAAE,NordicOrderID:18242,Xaxis TV,2016-06-20 12:00:00,2016-07-03 12:00:00,37721,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Xaxis - Programmatic - Behavioral targeting,Video
0063100000fkOfvAAE,NordicOrderID:17674,Xaxis TV,2016-05-23 12:00:00,2016-06-05 12:00:00,37740,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,"Xaxis DK - Mobil - Mobilinteresseret, Android brugere",Video
0063100000fkOfpAAE,NordicOrderID:20128,Xaxis TV,2016-08-29 12:00:00,2016-09-11 12:00:00,37740,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,"Xaxis DK - Programmatic - Conzoom - A1, A2, A5, E2, E3, E4",Video
0063100000fkOfeAAE,NordicOrderID:31631,Xaxis TV,2016-10-01 12:00:00,2016-10-31 12:00:00,37895,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Retargeting + Facebook retargeting,Video
0063100000fkOgoAAE,NordicOrderID:18677,Xaxis TV,2016-07-01 12:00:00,2016-07-31 12:00:00,37950,Xaxis DK - Video,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,National,Video
0063100000fkOd2AAE,NordicOrderID:12474,Xaxis TV,2016-02-25 12:00:00,2016-03-29 12:00:00,38000,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Programmatic desktop,Video
0063100000fkOg7AAE,NordicOrderID:11794,Xaxis TV,2016-03-07 12:00:00,2016-03-20 12:00:00,38000,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Fase 1: Taktiske strategier (retargeting + tvillinger),Video
0063100000fkOjBAAU,NordicOrderID:18187,Xaxis TV,2016-06-27 12:00:00,2016-07-17 12:00:00,38000,Xaxis DK - Video,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,"Viewed RON Mens sport, health and fashion sites CrossDevice Banner Freq. 3 per week",Video
0063100000fkOgmAAE,NordicOrderID:19411,Xaxis TV,2016-08-01 12:00:00,2016-08-31 12:00:00,38000,Xaxis DK - Video,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Reach,Video
0063100000fkOkFAAU,NordicOrderID:29179,Xaxis TV,2016-10-10 12:00:00,2016-10-23 12:00:00,38000,Xaxis DK - Video,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Xaxis web-tv,Video
0063100000fkOb5AAE,NordicOrderID:12557,Xaxis TV,2016-02-11 12:00:00,2016-03-13 12:00:00,38009,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Programmatic Banner,Video
0063100000fkOewAAE,NordicOrderID:10997,Xaxis TV,2016-01-04 12:00:00,2016-02-14 12:00:00,38117,Xaxis DK - Video,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Video
0063100000fkOSEAA2,NordicOrderID:11193,Xaxis TV,2016-02-01 12:00:00,2016-02-28 12:00:00,38400,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,"Adfaerd, geosegmenteret",Video
0063100000fkOPTAA2,NordicOrderID:18469,Xaxis TV,2016-07-01 12:00:00,2016-11-27 12:00:00,38492,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Programmatic buying H2,Video
0063100000fkOPYAA2,NordicOrderID:14678,Xaxis TV,2016-03-17 12:00:00,2020-01-01 12:00:00,38494,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Programmatic buying H1,Video
0063100000fkOVmAAM,NordicOrderID:16886,Xaxis TV,2016-05-23 12:00:00,2016-06-12 12:00:00,38722,Xaxis DK - Video,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,W21-50 (spotlaengde: 20 sek.),Video
0063100000fkOgiAAE,NordicOrderID:12291,Xaxis TV,2016-03-04 12:00:00,2016-04-04 12:00:00,38768,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Xaxis DK - RT+ Facebook,Video
0063100000fkOVoAAM,NordicOrderID:20018,Xaxis TV,2016-09-05 12:00:00,2016-09-25 12:00:00,38793,Xaxis DK - Video,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,W21-50 (Spotlaengde: 20 sek) Frek 1 pr uge,Video
0063100000fkORJAA2,NordicOrderID:10820,Xaxis TV,2016-02-01 12:00:00,2016-02-28 12:00:00,38835,Xaxis DK - Video,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Video
0063100000fkORHAA2,NordicOrderID:11800,Xaxis TV,2016-02-29 12:00:00,2016-03-27 12:00:00,38835,Xaxis DK - Video,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Video
0063100000fkOghAAE,NordicOrderID:16902,Xaxis Mobile,2016-05-04 12:00:00,2016-06-04 12:00:00,38893,Xaxis DK - Mobil,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Xaxis Mobil - RON - Interaktioner,Mobile
0063100000fkOYWAA2,NordicOrderID:18201,Xaxis Mobile,2016-06-16 12:00:00,2016-06-26 12:00:00,38997,Xaxis DK - Mobil,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Xaxis DK - Programmatic - RON,Mobile
0063100000fkOMNAA2,NordicOrderID:10883,Xaxis TV,2016-01-11 12:00:00,2016-01-24 12:00:00,39000,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Contextual Targeting - Childrens health + Retargeting,Video
0063100000fkOnqAAE,NordicOrderID:11880,Xaxis TV,2016-03-01 12:00:00,2016-03-20 12:00:00,39000,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Xaxis DK - Programmatic video banners,Video
0063100000fkObOAAU,NordicOrderID:15285,Xaxis TV,2016-04-07 12:00:00,2016-05-08 12:00:00,39000,Xaxis DK - Video,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,"ROS, Video Premium - Frekvens 3 over perioden",Video
0063100000fkOMTAA2,NordicOrderID:35175,Xaxis TV,2016-11-01 12:00:00,2016-11-30 12:00:00,39000,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Awareness/reach supplement (Facebook budget) F 25-45,Video
0063100000fkOhCAAU,NordicOrderID:18262,Xaxis TV,2016-06-21 12:00:00,2016-07-01 12:00:00,39062,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,"IT/tele beslutningstagere, SMB - inkl. EB og andre nyhedssites",Video
0063100000fkOSjAAM,NordicOrderID:10490,Xaxis TV,2016-01-01 12:00:00,2016-02-07 12:00:00,39070,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,GEO: Silkeborg,Video
0063100000fkOUhAAM,NordicOrderID:15278,Xaxis TV,2016-01-01 12:00:00,2016-02-07 12:00:00,39070,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,GEO: Silkeborg,Video
0063100000fkOOSAA2,NordicOrderID:11874,Xaxis TV,2016-02-01 12:00:00,2016-03-31 12:00:00,39236,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,"reach, awareness, re-targeting",Video
0063100000fkOggAAE,NordicOrderID:17925,Xaxis TV,2016-06-02 12:00:00,2016-06-30 12:00:00,39355,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Xaxis - RT + Facebook,Video
0063100000fkOlWAAU,NordicOrderID:32155,Xaxis TV,2016-10-04 12:00:00,2016-10-31 12:00:00,39363,Xaxis DK - Video,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Video
0063100000fkOkLAAU,NordicOrderID:29156,Xaxis TV,2016-10-27 12:00:00,2016-11-03 12:00:00,39400,Xaxis DK - Video,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,"Mobil: Swipe Gallery & Takeover, W/M18-39, fashion",Video
0063100000fkOfJAAU,NordicOrderID:28755,Xaxis TV,2016-09-01 12:00:00,2016-09-30 12:00:00,39424,Xaxis DK - Video,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Programmatic SE,Video
0063100000fkOk8AAE,NordicOrderID:18081,Xaxis TV,2016-06-20 12:00:00,2016-07-31 12:00:00,39456,Xaxis DK - Video,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Programmatic desktop,Video
0063100000fkOdaAAE,NordicOrderID:17870,Xaxis TV,2016-06-01 12:00:00,2016-06-30 12:00:00,39592,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Retargeting og targeting juni,Video
0063100000fkOl7AAE,NordicOrderID:38760,Xaxis TV,2016-12-01 12:00:00,2016-12-31 12:00:00,39769,Xaxis DK - Video,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Video
