Market,Agency__c,Forecast_Month__c,Forecast_Year__c,Forecast__c,CurrencyIsoCode,Forecast_Type__c,Forecast_Quarter__c,Business_Unit__c,Forecast_Level__c
Austria,a00i000000GIJl7AAH,Jun,2016,332144,USD,Cartesis,Q3RF 2016,Light Reaction,Market
Austria,a00i000000GIJl7AAH,Jul,2016,325162.3,USD,Cartesis,Q3RF 2016,Light Reaction,Market
Austria,a00i000000GIJl7AAH,Aug,2016,393962.4,USD,Cartesis,Q3RF 2016,Light Reaction,Market
Austria,a00i000000GIJl7AAH,Sep,2016,421613.3,USD,Cartesis,Q3RF 2016,Light Reaction,Market
Austria,a00i000000GIJl7AAH,Oct,2016,498256.3,USD,Cartesis,Q3RF 2016,Light Reaction,Market
Austria,a00i000000GIJl7AAH,Nov,2016,415245,USD,Cartesis,Q3RF 2016,Light Reaction,Market
Austria,a00i000000GIJl7AAH,Dec,2016,174437,USD,Cartesis,Q3RF 2016,Light Reaction,Market
Turkey,a00i000000GIJlJAAX,Nov,2016,32585.23,USD,Cartesis,Q3RF 2016,plista,Market
Turkey,a00i000000GIJlJAAX,Dec,2016,65170.46,USD,Cartesis,Q3RF 2016,plista,Market
Slovakia,a003100000fHjHwAAK,Jan,2016,15519.93,USD,Cartesis,Q3RF 2016,Light Reaction,Market
Slovakia,a003100000fHjHwAAK,Feb,2016,27193.64,USD,Cartesis,Q3RF 2016,Light Reaction,Market
Slovakia,a003100000fHjHwAAK,Mar,2016,60497.61,USD,Cartesis,Q3RF 2016,Light Reaction,Market
Slovakia,a003100000fHjHwAAK,Apr,2016,103986.2,USD,Cartesis,Q3RF 2016,Light Reaction,Market
Slovakia,a003100000fHjHwAAK,May,2016,80685.25,USD,Cartesis,Q3RF 2016,Light Reaction,Market
Slovakia,a003100000fHjHwAAK,Jun,2016,83546.1,USD,Cartesis,Q3RF 2016,Light Reaction,Market
Slovakia,a003100000fHjHwAAK,Jul,2016,46274.14,USD,Cartesis,Q3RF 2016,Light Reaction,Market
Slovakia,a003100000fHjHwAAK,Aug,2016,49853.53,USD,Cartesis,Q3RF 2016,Light Reaction,Market
Slovakia,a003100000fHjHwAAK,Sep,2016,79949,USD,Cartesis,Q3RF 2016,Light Reaction,Market
Slovakia,a003100000fHjHwAAK,Oct,2016,83694.47,USD,Cartesis,Q3RF 2016,Light Reaction,Market
Slovakia,a003100000fHjHwAAK,Nov,2016,75179.43,USD,Cartesis,Q3RF 2016,Light Reaction,Market
Slovakia,a003100000fHjHwAAK,Dec,2016,34260.54,USD,Cartesis,Q3RF 2016,Light Reaction,Market
Sweden,a00i000000GIJlIAAX,Jan,2016,796619.6,USD,Cartesis,Q3RF 2016,Xaxis,Market
Sweden,a00i000000GIJlIAAX,Feb,2016,877922.5,USD,Cartesis,Q3RF 2016,Xaxis,Market
Sweden,a00i000000GIJlIAAX,Mar,2016,1090447,USD,Cartesis,Q3RF 2016,Xaxis,Market
Sweden,a00i000000GIJlIAAX,Apr,2016,1476702,USD,Cartesis,Q3RF 2016,Xaxis,Market
Sweden,a00i000000GIJlIAAX,May,2016,1072579,USD,Cartesis,Q3RF 2016,Xaxis,Market
Sweden,a00i000000GIJlIAAX,Jun,2016,1190941,USD,Cartesis,Q3RF 2016,Xaxis,Market
Sweden,a00i000000GIJlIAAX,Jul,2016,1336388,USD,Cartesis,Q3RF 2016,Xaxis,Market
Sweden,a00i000000GIJlIAAX,Aug,2016,1460204,USD,Cartesis,Q3RF 2016,Xaxis,Market
Sweden,a00i000000GIJlIAAX,Sep,2016,1181857,USD,Cartesis,Q3RF 2016,Xaxis,Market
Sweden,a00i000000GIJlIAAX,Oct,2016,1227768,USD,Cartesis,Q3RF 2016,Xaxis,Market
Sweden,a00i000000GIJlIAAX,Nov,2016,983492.7,USD,Cartesis,Q3RF 2016,Xaxis,Market
Sweden,a00i000000GIJlIAAX,Dec,2016,770457.6,USD,Cartesis,Q3RF 2016,Xaxis,Market
Sweden,a00i000000GIJlIAAX,Nov,2016,118320.6,USD,Cartesis,Q3RF 2016,plista,Market
Sweden,a00i000000GIJlIAAX,Dec,2016,236641.2,USD,Cartesis,Q3RF 2016,plista,Market
Romania,a00i000000QyKQeAAN,Jan,2016,59919.06,USD,Cartesis,Q3RF 2016,Xaxis,Market
Romania,a00i000000QyKQeAAN,Feb,2016,71388.08,USD,Cartesis,Q3RF 2016,Xaxis,Market
Romania,a00i000000QyKQeAAN,Mar,2016,125740.7,USD,Cartesis,Q3RF 2016,Xaxis,Market
Romania,a00i000000QyKQeAAN,Apr,2016,92005.78,USD,Cartesis,Q3RF 2016,Xaxis,Market
